#Group	Point	X_cord	Y_cord	Z_cord
1	1	100	0	0
1	2	95	31.22498999	0
1	3	90	43.58898944	0
1	4	80	60	0
1	5	70	71.41428429	0
1	6	60	80	0
1	7	50	86.60254038	0
1	8	40	91.6515139	0
1	9	30	95.39392014	0
1	10	25	96.82458366	0
1	11	20	97.97958971	0
1	12	15	98.86859967	0
1	13	10	99.49874371	0
1	14	7.5	99.71835338	0
1	15	5	99.87492178	0
1	16	2.5	99.96874512	0
1	17	1.25	99.99218719	0
1	18	0	100	0
1	19	1.25	99.99218719	0
1	20	2.5	99.96874512	0
1	21	5	99.87492178	0
1	22	7.5	99.71835338	0
1	23	10	99.49874371	0
1	24	15	98.86859967	0
1	25	20	97.97958971	0
1	26	25	96.82458366	0
1	27	30	95.39392014	0
1	28	40	91.6515139	0
1	29	50	86.60254038	0
1	30	60	80	0
1	31	70	71.41428429	0
1	32	80	60	0
1	33	90	43.58898944	0
1	34	95	31.22498999	0
1	35	100	0	0
1	0			
